,ticker,2025-03-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2025-08-31 00:00:00,2024-08-31 00:00:00,2023-08-31 00:00:00,2022-08-31 00:00:00
General And Administrative Expense,9719,91515000000.0,70940000000.0,66491000000.0,60780000000.0,,,,,
Gross Profit,9719,159476000000.0,127971000000.0,117679000000.0,108187000000.0,,,,,
Cost Of Revenue,9719,436589000000.0,352336000000.0,328232000000.0,305962000000.0,,,,,
Total Revenue,9719,596065000000.0,480307000000.0,445912000000.0,414150000000.0,,,,,
Operating Revenue,9719,596065000000.0,480307000000.0,445912000000.0,414150000000.0,,,,,
Tax Effect Of Unusual Items,9735,-694199000.0,-1720444539.431502,-923461487.803765,-928953365.830554,,,,,
Tax Rate For Calcs,9735,0.283,0.302629,0.308026,0.304375,,,,,
Normalized EBITDA,9735,255874000000.0,242297000000.0,226174000000.0,223362000000.0,,,,,
Total Unusual Items,9735,-2453000000.0,-5685000000.0,-2998000000.0,-3052000000.0,,,,,
Total Unusual Items Excluding Goodwill,9735,-2453000000.0,-5685000000.0,-2998000000.0,-3052000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9735,108109000000.0,101951000000.0,96085000000.0,94273000000.0,,,,,
Reconciled Depreciation,9735,77242000000.0,71781000000.0,68940000000.0,67460000000.0,,,,,
Reconciled Cost Of Revenue,9735,828789000000.0,797456000000.0,758850000000.0,712187000000.0,,,,,
EBITDA,9735,253421000000.0,236612000000.0,223176000000.0,220310000000.0,,,,,
EBIT,9735,176179000000.0,164831000000.0,154236000000.0,152850000000.0,,,,,
Net Interest Income,9735,2390000000.0,1683000000.0,726000000.0,393000000.0,,,,,
Interest Expense,9735,1311000000.0,1066000000.0,869000000.0,837000000.0,,,,,
Interest Income,9735,3701000000.0,2749000000.0,1595000000.0,1230000000.0,,,,,
Normalized Income,9735,109867801000.0,105915555460.5685,98159538512.19623,96396046634.16945,,,,,
Net Income From Continuing And Discontinued Operation,9735,108109000000.0,101951000000.0,96085000000.0,94273000000.0,,,,,
Total Expenses,9735,1055636000000.0,1014073000000.0,964600000000.0,906355000000.0,,,,,
Rent Expense Supplemental,9735,13269000000.0,12699000000.0,12511000000.0,11757000000.0,,,,,
Total Operating Income As Reported,9735,144297000000.0,140658000000.0,136700000000.0,143499000000.0,,,,,
Diluted Average Shares,9735,448547838.0,422998091.0,431830510.0,437190762.0,,,,,
Basic Average Shares,9735,448547838.0,422998091.0,431830510.0,437190762.0,,,,,
Diluted EPS,9735,241.02,241.02,222.51,215.635,,,,,
Basic EPS,9735,241.02,241.02,222.51,215.635,,,,,
Diluted NI Availto Com Stockholders,9735,108109000000.0,101951000000.0,96085000000.0,94273000000.0,,,,,
Net Income Common Stockholders,9735,108109000000.0,101951000000.0,96085000000.0,94273000000.0,,,,,
Otherunder Preferred Stock Dividend,9735,0.0,0.0,0.0,0.0,,,,,
Net Income,9735,108109000000.0,101951000000.0,96085000000.0,94273000000.0,,,,,
Minority Interests,9735,-17197000000.0,-12253000000.0,-10040000000.0,-11470000000.0,,,,,
Net Income Including Noncontrolling Interests,9735,125306000000.0,114204000000.0,106126000000.0,105744000000.0,,,,,
Net Income Continuous Operations,9735,125307000000.0,114205000000.0,106126000000.0,105744000000.0,,,,,
Tax Provision,9735,49561000000.0,49560000000.0,47241000000.0,46269000000.0,,,,,
Pretax Income,9735,174868000000.0,163765000000.0,153367000000.0,152013000000.0,,,,,
Other Non Operating Income Expenses,9735,-207000000.0,1633000000.0,2763000000.0,986000000.0,,,,,
Special Income Charges,9735,-2289000000.0,-4519000000.0,-3975000000.0,-3415000000.0,,,,,
Other Special Charges,9735,-595000000.0,1543000000.0,782000000.0,3287000000.0,,,,,
Write Off,9735,2884000000.0,2976000000.0,3193000000.0,128000000.0,,,,,
Impairment Of Capital Assets,9735,,,,,582000000.0,,,,
Restructuring And Mergern Acquisition,9735,,,,,-120000000.0,,,,
Net Non Operating Interest Income Expense,9735,2390000000.0,1683000000.0,726000000.0,393000000.0,,,,,
Interest Expense Non Operating,9735,1311000000.0,1066000000.0,869000000.0,837000000.0,,,,,
Interest Income Non Operating,9735,3701000000.0,2749000000.0,1595000000.0,1230000000.0,,,,,
Operating Income,9735,144306000000.0,140667000000.0,136706000000.0,143504000000.0,,,,,
Operating Expense,9735,226847000000.0,216617000000.0,205750000000.0,194168000000.0,,,,,
Other Operating Expenses,9735,60067000000.0,56347000000.0,51282000000.0,48388000000.0,,,,,
Depreciation And Amortization In Income Statement,9735,19179000000.0,17808000000.0,16767000000.0,15289000000.0,,,,,
Amortization,9735,6641000000.0,6571000000.0,6426000000.0,5598000000.0,,,,,
Depreciation Income Statement,9735,12538000000.0,11237000000.0,10341000000.0,9691000000.0,,,,,
Selling General And Administration,9735,9776000000.0,10193000000.0,10129000000.0,9453000000.0,,,,,
Selling And Marketing Expense,9735,5218000000.0,5700000000.0,5759000000.0,5296000000.0,,,,,
General And Administrative Expense,9735,4558000000.0,4493000000.0,4370000000.0,4157000000.0,,,,,
Rent And Landing Fees,9735,13269000000.0,12699000000.0,12511000000.0,11757000000.0,,,,,
Gross Profit,9735,371153000000.0,357284000000.0,342456000000.0,337672000000.0,,,,,
Cost Of Revenue,9735,828789000000.0,797456000000.0,758850000000.0,712187000000.0,,,,,
Total Revenue,9735,1199942000000.0,1154740000000.0,1101307000000.0,1049859000000.0,,,,,
Operating Revenue,9735,1199942000000.0,1154740000000.0,1101307000000.0,1049859000000.0,,,,,
Tax Effect Of Unusual Items,9983,,,,,,0.0,0.0,0.0,0.0
Tax Rate For Calcs,9983,,,,,,0.294234,0.293603,0.280294,0.116
Normalized EBITDA,9983,,,,,,879900000000.0,772690000000.0,634678000000.0,601419000000.0
Net Income From Continuing Operation Net Minority Interest,9983,,,,,,433010000000.0,372000000000.0,296230000000.0,273335000000.0
Reconciled Depreciation,9983,,,,,,216492000000.0,204388000000.0,186872000000.0,180275000000.0
Reconciled Cost Of Revenue,9983,,,,,,1571681000000.0,1430764000000.0,1330196000000.0,1094263000000.0
EBITDA,9983,,,,,,879900000000.0,772690000000.0,634678000000.0,601419000000.0
EBIT,9983,,,,,,663408000000.0,568302000000.0,447806000000.0,421144000000.0
Net Interest Income,9983,,,,,,86309000000.0,56298000000.0,56828000000.0,116260000000.0
Interest Expense,9983,,,,,,12834000000.0,11101000000.0,9888000000.0,7560000000.0
Interest Income,9983,,,,,,99143000000.0,67399000000.0,66716000000.0,123820000000.0
Normalized Income,9983,,,,,,433010000000.0,372000000000.0,296230000000.0,273335000000.0
Net Income From Continuing And Discontinued Operation,9983,,,,,,433010000000.0,372000000000.0,296230000000.0,273335000000.0
Total Expenses,9983,,,,,,2837978000000.0,2604349000000.0,2386605000000.0,2004857000000.0
Total Operating Income As Reported,9983,,,,,,564265000000.0,500904000000.0,381090000000.0,297325000000.0
Diluted Average Shares,9983,,,,,,307246757.0,307231523.0,307138562.0,306969666.0
Basic Average Shares,9983,,,,,,306785269.0,306707176.0,306628124.0,306510285.0
Diluted EPS,9983,,,,,,1409.32,1210.81,964.48,890.43
Basic EPS,9983,,,,,,1411.44,1212.88,966.09,891.77
Diluted NI Availto Com Stockholders,9983,,,,,,433009000000.0,371999000000.0,296229000000.0,273335000000.0
Net Income Common Stockholders,9983,,,,,,433009000000.0,371999000000.0,296229000000.0,273335000000.0
Otherunder Preferred Stock Dividend,9983,,,,,,1000000.0,1000000.0,1000000.0,0.0
Net Income,9983,,,,,,433010000000.0,372000000000.0,296230000000.0,273335000000.0
Minority Interests,9983,,,,,,-26143000000.0,-21605000000.0,-18941000000.0,-11415000000.0
Net Income Including Noncontrolling Interests,9983,,,,,,459153000000.0,393605000000.0,315171000000.0,284750000000.0
Net Income Continuous Operations,9983,,,,,,459153000000.0,393605000000.0,315172000000.0,284750000000.0
Tax Provision,9983,,,,,,191421000000.0,163596000000.0,122746000000.0,128834000000.0
Pretax Income,9983,,,,,,650574000000.0,557201000000.0,437918000000.0,413584000000.0
Net Non Operating Interest Income Expense,9983,,,,,,86309000000.0,56298000000.0,56828000000.0,116260000000.0
Interest Expense Non Operating,9983,,,,,,12834000000.0,11101000000.0,9888000000.0,7560000000.0
Interest Income Non Operating,9983,,,,,,99143000000.0,67399000000.0,66716000000.0,123820000000.0
Operating Income,9983,,,,,,562561000000.0,499486000000.0,379951000000.0,296265000000.0
Operating Expense,9983,,,,,,1266297000000.0,1173585000000.0,1056409000000.0,910594000000.0
Other Operating Expenses,9983,,,,,,8087000000.0,6256000000.0,14238000000.0,27391000000.0
Selling General And Administration,9983,,,,,,1277701000000.0,1187713000000.0,1054368000000.0,900154000000.0
General And Administrative Expense,9983,,,,,,1277701000000.0,1187713000000.0,1054368000000.0,900154000000.0
Gross Profit,9983,,,,,,1828858000000.0,1673071000000.0,1436360000000.0,1206859000000.0
Cost Of Revenue,9983,,,,,,1571681000000.0,1430764000000.0,1330196000000.0,1094263000000.0
Total Revenue,9983,,,,,,3400539000000.0,3103836000000.0,2766557000000.0,2301122000000.0
Operating Revenue,9983,,,,,,3400539000000.0,3103836000000.0,2766557000000.0,2301122000000.0
Tax Effect Of Unusual Items,9989,-77963001.216461,-137629044.376045,-135639936.356404,-17787945.205479,,,,,
Tax Rate For Calcs,9989,0.2942,0.294079,0.318404,0.312069,,,,,
Normalized EBITDA,9989,61280000000.0,56888000000.0,50240000000.0,44950000000.0,,,,,
Total Unusual Items,9989,-265000000.0,-468000000.0,-426000000.0,-57000000.0,,,,,
Total Unusual Items Excluding Goodwill,9989,-265000000.0,-468000000.0,-426000000.0,-57000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9989,30750000000.0,29126000000.0,25703000000.0,23853000000.0,,,,,
Reconciled Depreciation,9989,17282000000.0,15127000000.0,12068000000.0,10209000000.0,,,,,
Reconciled Cost Of Revenue,9989,597723000000.0,562457000000.0,518516000000.0,492228000000.0,,,,,
EBITDA,9989,61015000000.0,56420000000.0,49814000000.0,44893000000.0,,,,,
EBIT,9989,43733000000.0,41293000000.0,37746000000.0,34684000000.0,,,,,
Net Interest Income,9989,-13000000.0,88000000.0,83000000.0,113000000.0,,,,,
Interest Expense,9989,164000000.0,32000000.0,36000000.0,9000000.0,,,,,
Interest Income,9989,151000000.0,120000000.0,119000000.0,122000000.0,,,,,
Normalized Income,9989,30937036998.78354,29456370955.623955,25993360063.643597,23892212054.79452,,,,,
Net Income From Continuing And Discontinued Operation,9989,30750000000.0,29126000000.0,25703000000.0,23853000000.0,,,,,
Total Expenses,9989,757310000000.0,710776000000.0,653007000000.0,614682000000.0,,,,,
Rent Expense Supplemental,9989,33337000000.0,31383000000.0,29590000000.0,27578000000.0,,,,,
Total Operating Income As Reported,9989,44496000000.0,40996000000.0,37452000000.0,34052000000.0,,,,,
Diluted Average Shares,9989,116962697.0,116939013.0,116927486.0,116920739.0,,,,,
Basic Average Shares,9989,116962697.0,116939013.0,116923310.0,116917653.0,,,,,
Diluted EPS,9989,262.91,249.07,219.82,204.01,,,,,
Basic EPS,9989,262.91,249.07,219.83,204.02,,,,,
Diluted NI Availto Com Stockholders,9989,30750000000.0,29126000000.0,25703000000.0,23853000000.0,,,,,
Net Income Common Stockholders,9989,30750000000.0,29126000000.0,25703000000.0,23853000000.0,,,,,
Otherunder Preferred Stock Dividend,9989,0.0,0.0,0.0,0.0,,,,,
Net Income,9989,30750000000.0,29126000000.0,25703000000.0,23853000000.0,,,,,
Minority Interests,9989,,0.0,0.0,0.0,,,,,
Net Income Including Noncontrolling Interests,9989,30750000000.0,29126000000.0,25703000000.0,23853000000.0,,,,,
Net Income Continuous Operations,9989,30751000000.0,29127000000.0,25703000000.0,23854000000.0,,,,,
Tax Provision,9989,12818000000.0,12134000000.0,12007000000.0,10821000000.0,,,,,
Pretax Income,9989,43569000000.0,41261000000.0,37710000000.0,34675000000.0,,,,,
Other Non Operating Income Expenses,9989,908000000.0,635000000.0,594000000.0,563000000.0,,,,,
Special Income Charges,9989,-463000000.0,-468000000.0,-426000000.0,-57000000.0,,,,,
Other Special Charges,9989,37000000.0,-13000000.0,-118000000.0,-53000000.0,,,,,
Write Off,9989,426000000.0,481000000.0,544000000.0,110000000.0,,,,,
Net Non Operating Interest Income Expense,9989,-13000000.0,88000000.0,83000000.0,113000000.0,,,,,
Interest Expense Non Operating,9989,164000000.0,32000000.0,36000000.0,9000000.0,,,,,
Interest Income Non Operating,9989,151000000.0,120000000.0,119000000.0,122000000.0,,,,,
Operating Income,9989,44500000000.0,41000000000.0,37455000000.0,34052000000.0,,,,,
Operating Expense,9989,159587000000.0,148319000000.0,134491000000.0,122454000000.0,,,,,
Other Operating Expenses,9989,50031000000.0,47080000000.0,42567000000.0,47762000000.0,,,,,
Depreciation And Amortization In Income Statement,9989,17282000000.0,15012000000.0,12008000000.0,,,,,,
Depreciation Income Statement,9989,17282000000.0,15012000000.0,12008000000.0,,,,,,
Rent And Landing Fees,9989,33337000000.0,31383000000.0,29590000000.0,27578000000.0,,,,,
Gross Profit,9989,204087000000.0,189319000000.0,171946000000.0,156506000000.0,,,,,
Cost Of Revenue,9989,597723000000.0,562457000000.0,518516000000.0,492228000000.0,,,,,
Total Revenue,9989,801811000000.0,751777000000.0,690462000000.0,648734000000.0,,,,,
Operating Revenue,9989,801811000000.0,751777000000.0,690462000000.0,648734000000.0,,,,,
